"","num","state","delegation","chamber","team"
"1",1,"PRC","SA","Cisse","C"
"2",2,"FRA","QLD","Cisse","C"
"3",3,"RUS","TAS","Cisse","A"
"4",4,"UK","NSW","Cisse","A"
"5",5,"US","WA","Cisse","E"
"6",6,"ALB","ACT","Cisse","A"
"7",7,"BRA","NSW","Cisse","C"
"8",8,"ECU","QLD","Cisse","A"
"9",9,"GAB","NZ","Cisse","A"
"10",10,"GHA","SA","Cisse","D"
"11",11,"JAP","WA","Cisse","C"
"12",12,"MAL","NT","Cisse","A"
"13",13,"MZB","VIC","Cisse","C"
"14",14,"SUI","WA","Cisse","B"
"15",15,"UAE","VIC","Cisse","B"
"16",16,"PRC","ACT","Makin","B"
"17",17,"FRA","NSW","Makin","B"
"18",18,"RUS","TAS","Makin","B"
"19",19,"UK","VIC","Makin","D"
"20",20,"US","WA","Makin","D"
"21",21,"ALB","NZ","Makin","B"
"22",22,"BRA","NT","Makin","B"
"23",23,"ECU","QLD","Makin","B"
"24",24,"GAB","VIC","Makin","A"
"25",25,"GHA","NSW","Makin","D"
"26",26,"JAP","VIC","Makin","E"
"27",27,"MAL","WA","Makin","A"
"28",28,"MZB","SA","Makin","B"
"29",29,"SUI","NSW","Makin","E"
"30",30,"UAE","SA","Makin","A"
